timestamp,fans_count
2025-07-29 17:37:00,18703000
2025-07-29 18:09:19,18686000
2025-08-03 12:12:03,17944000
2025-08-03 12:15:20,17944000
2025-08-03 12:22:04,17943000
2025-08-04 01:18:35,17922000
2025-08-05 01:15:19,17840000
2025-08-06 01:13:11,17747000
2025-08-07 01:13:54,17669000
2025-08-08 01:14:00,17600000
2025-08-10 01:17:15,17483000
2025-08-11 01:14:10,17430000
2025-08-12 01:06:48,17377000
2025-08-13 01:08:14,17340000
2025-08-14 01:08:51,17308000
2025-08-15 01:09:06,17278000
2025-08-16 01:05:37,17250000
2025-08-19 01:05:58,17160000
2025-08-20 01:04:03,17131000
2025-08-21 01:04:01,17104000
2025-08-22 01:04:19,17082000
2025-08-23 01:01:31,17063000
2025-08-25 01:07:07,17027000
2025-08-26 01:04:53,16997000
2025-08-27 01:03:10,16980000
2025-08-28 01:01:57,16961000
2025-08-29 01:02:33,16944000
2025-08-30 00:59:03,16927000
2025-08-31 01:06:42,16908000
2025-09-01 01:12:47,16893000
2025-09-02 01:03:06,16883000
2025-09-03 00:59:29,16872000
2025-09-04 00:59:32,16862000
2025-09-05 01:00:50,16853000
2025-09-06 00:59:24,16844000
2025-09-07 01:05:23,16832000
2025-09-08 01:04:06,16821000
2025-09-09 01:01:58,16813000
2025-09-10 01:00:21,16804000
2025-09-11 01:01:40,16795000
2025-09-12 00:59:18,16787000
2025-09-13 00:57:13,16778000
2025-09-14 01:05:26,16767000
2025-09-15 01:05:53,16756000
2025-09-16 01:00:33,16748000
2025-09-17 01:00:16,16740000
2025-09-18 00:59:44,16732000
2025-09-19 01:02:17,16723000
2025-09-20 00:58:45,16714000
2025-09-21 01:06:24,16704000
2025-09-22 01:06:20,16693000
2025-09-23 01:00:18,16685000
2025-09-24 01:01:11,16678000
2025-09-25 01:01:22,16669000
2025-09-26 01:01:08,16663000
2025-09-27 00:59:06,16655000
2025-09-28 01:07:38,16646000
2025-09-30 01:02:41,16632000
2025-10-01 01:08:44,16624000
2025-10-02 01:00:18,16614000
2025-10-03 01:01:22,16604000
2025-10-04 00:58:18,16593000
2025-10-05 01:07:23,16582000
2025-10-06 01:02:24,16569000
2025-10-08 01:00:27,16546000
2025-10-09 01:01:10,16537000
2025-10-10 01:00:48,16530000
